Source,Target,value
Michelet,Toublanc,6
Toublanc,Two,3
Flavius,Rience,5
Myhrman,Rience,6
Myhrman,Vilgefortz,1
Artaud,Tissaia,29
Tissaia,Vilgefortz,42
Artaud,Two,4
Lydia,Two,14
Lydia,Vilgefortz,103
Artaud,Lydia,13
Lydia,Tissaia,9
Francesca,Vilgefortz,51
Fercart,Philippa,9
Fercart,Radcliffe,6
Radcliffe,Vilgefortz,6
Aevenien,Tissaia,2
Vilgefortz,Yennefer,195
Fercart,Vilgefortz,9
Artaud,Yennefer,26
Tissaia,Yennefer,84
Geralt,Michelet,9
Ciri,Philippa,52
Eurneid,Iola,30
Ciri,Eurneid,6
Ciri,Iola,13
Vesemir,Yarpen,17
Ciri,Jarre,140
Jarre,Nenneke,31
Bronibor,Jarre,12
Bronibor,Ciri,4
Jarre,Yennefer,41
Geralt,Jarre,8
Ciri,Hrosvitha,3
Hrosvitha,Iola,6
Hrosvitha,Yennefer,5
Agnes,Ciri,5
Ciri,Francesca,46
Aine,Ciri,9
Lambert,Yennefer,5
Ithlinne,Nenneke,3
Aevenien,Yennefer,3
Aplegatt,King,5
Aplegatt,Emhyr,3
Calanthe,Cirilla,6
Aplegatt,Ciri,4
Aplegatt,Yennefer,5
Codringher,Geralt,48
Codringher,Rience,8
Codringher,Dandelion,3
Philippa,Sabrina,72
Rience,Sabrina,4
Cirilla,Geralt,21
Cirilla,Pavetta,31
Ciri,Foltest,6
Codringher,Jacob,5
Pavetta,Roegner,12
Codringher,Pavetta,19
Codringher,Roegner,3
Ciri,Roegner,2
Ciri,Codringher,19
Akerspaark,Emhyr,5
Emhyr,Geralt,35
Akerspaark,Geralt,11
Horm,Torm,6
Gonzalez,Horm,6
Gonzalez,Valia,5
Nina,Valia,6
Argentina,Nina,6
Akerspaark,Pavetta,5
Calanthe,Ciri,7
Codringher,Ithlinne,5
Heimo,Ralf,5
Aplegatt,Hansom,9
Cairbre,Yaevinn,3
Ciri,Molnar,23
Molnar,Yennefer,36
Foltest,Molnar,3
Ciri,Fabio,134
Fabio,Yennefer,19
Ciri,Hugo,1
Hugo,Justin,5
Count,Justin,5
Fabio,Leila,2
Margarita,Yennefer,34
Ciri,Margarita,31
Margarita,Tissaia,15
Ciri,Tissaia,37
Falka,Yennefer,2
Lars,Tissaia,6
Bernie,Dandelion,8
Bernie,Falka,3
Bernie,Geralt,6
Bernie,Petunia,5
Dandelion,Petunia,4
Sabrina,Yennefer,63
Geralt,Sabrina,39
Gerhart,Yennefer,6
Francesca,Tissaia,28
